"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","금전및 유가증권건수","금전및 유가증권금액","도서및 물품건수","도서및 물품금액","수목시설및 재산건수","수목시설및 재산금액","건수합계","금액합계","학교교육시설 보수확충금액","교육용기자재 및도서금액","학교체육학예 활동금액","학생복지및 자치활동지원금액","지출금액합계"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001971","금성초등학교","02","공립","N","","2","1300000","0","0","0","0","2","1300000","0","0","0","1300000","1300000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001973","남강초등학교","02","공립","N","","21","21120000","0","0","0","0","21","21120000","0","300000","16954390","2700000","19954390"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001975","내동초등학교","02","공립","N","","10","3800000","0","0","0","0","10","3800000","0","0","986000","4600000","5586000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001978","대곡초등학교","02","공립","N","","13","3500000","0","0","0","0","13","3500000","4300000","0","0","5100000","9400000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001986","도동초등학교","02","공립","N","","1","500000","0","0","0","0","1","500000","0","0","0","500000","500000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001992","동진초등학교","02","공립","N","","2","900000","1","3450000","0","0","3","4350000","0","0","0","900000","900000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001996","망경초등학교","02","공립","N","","5","1700000","0","0","0","0","5","1700000","0","0","0","1700000","1700000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001999","문산초등학교","02","공립","N","","11","6319000","0","0","0","0","11","6319000","0","0","0","6319000","6319000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002001","반성초등학교","02","공립","N","","13","12945000","0","0","0","0","13","12945000","0","0","0","7695000","7695000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002004","배영초등학교","02","공립","Y","접수금액과 지출금액 모두 없음(학교발전기금 없음)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002005","봉곡초등학교","02","공립","N","","3","3300000","1","90000","0","0","4","3390000","0","0","0","3300000","3300000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002006","봉래초등학교","02","공립","N","","19","12529200","0","0","0","0","19","12529200","0","4209790","2300000","2200000","8709790"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002007","봉원초등학교","02","공립","N","","4","2300000","0","0","0","0","4","2300000","0","0","0","2500000","2500000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002010","사봉초등학교","02","공립","N","","12","13700000","0","0","0","0","12","13700000","0","10000000","0","4899540","14899540"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002014","선학초등학교","02","공립","Y","발전기금 입금, 출금 금액이 없음","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002017","수곡초등학교","02","공립","N","","20","104845700","0","0","0","0","20","104845700","0","0","0","10045700","10045700"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002018","수정초등학교","02","공립","N","","2","31800000","0","0","0","0","2","31800000","23202570","0","0","1800000","25002570"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160002019","신안초등학교","02","공립","Y","학교발전기금 없음","0","0","0","0","0","0","0","0","0","0","0","0","0"
